1:1.000000
2:1.000000
4:1.000000
8:1.000000
16:1.000000
32:1.000000
64:2.000000
128:1.000000
256:1.000000
512:3.000000
1024:5.000000
2048:7.000000
4096:16.000000
8192:114.000000
16384:183.000000
32768:725.000000
65536:1036.000000
131072:1784.000000
262144:2684.000000
524288:5211.000000
1048576:10760.000000
2097152:21888.000000
4194304:41119.000000
8388608:81896.000000
16777216:159762.000000
33554432:320978.000000
67108864:692347.000000
134217728:1295074.000000
